name,CAT,NOTA,TE,TG,TR,UP,USE,name_stemmed
ESTABELECIMENTO PENAL FEDERAL DE SEGURANÇA MÁXIMA,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']","

NOTA
Lei 11.671/2008.
",,ESTABELECIMENTO PENAL,['COMPETÊNCIA CONJUNTA'],ESTABELECIMENTO PENITENCIÁRIO FEDERAL,,estabelec penal feder de seguranc max
ESTABELECIMENTO PSIQUIÁTRICO,['DPE DIREITO PENAL'],,,,"['HOSPITAL DE CUSTÓDIA', 'TRATAMENTO PSIQUIÁTRICO']",,,estabelec psiquiatr
ESTADO DE NECESSIDADE,['DPE DIREITO PENAL'],,,EXCLUDENTE DE ILICITUDE,['FURTO FAMÉLICO'],,,est de necess
ESTELIONATO,['DPE DIREITO PENAL'],,DEFRAUDAÇÃO DE PENHOR,,"['ASSINATURA FALSA', 'CRIME DE BURLA', 'CRIME DE BURLA QUALIFICADA', 'DELITO CONSUMADO', 'ERRO DE PROIBIÇÃO', 'FALSA IDENTIDADE', 'FALSIDADE DOCUMENTAL', 'FALSIFICAÇÃO', 'FORMAÇÃO DE QUADRILHA']",,,estelionat
ESTELIONATO PREVIDENCIÁRIO,['DPE DIREITO PENAL'],,,ESTELIONATO,"['CRIME CONTRA A ADMINISTRAÇÃO PÚBLICA', 'CRIME INSTANTÂNEO DE EFEITOS PERMANENTES']",,,estelionat previdenci
ESTERILIZAÇÃO CIRÚRGICA IRREGULAR,['DPE DIREITO PENAL'],"

NOTA
Crime capitulado no artigo 15 da Lei 9.263/1996, que trata do planejamento familiar, estabelece penalidades e dá outras providências.
",,,['PLANEJAMENTO FAMILIAR'],,,esteril cirurg irregul
ESTRANGEIRO DOMICILIADO NO BRASIL,"['DCT DIREITO CONSTITUCIONAL', 'DIC DIREITO CIVIL', 'DIN DIREITO INTERNACIONAL', 'DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,ESTRANGEIRO,"['ESTRANGEIRO NÃO DOMICILIADO NO BRASIL', 'IMIGRAÇÃO', 'PERMANÊNCIA NO PAÍS', 'PROFESSOR ESTRANGEIRO', 'VISTO PERMANENTE', 'VISTO TEMPORÁRIO']",ESTRANGEIRO RESIDENTE NO BRASIL,,estrang domicili no brasil
ESTUPRO,['DPE DIREITO PENAL'],"

NOTA
Art. 213. Constranger alguém, mediante violência ou
grave ameaça, a ter conjunção carnal ou a praticar
ou permitir que com ele se pratique outro ato libidinoso. 
(Decreto-lei 2.848 - Código Penal. Redação dada pela Lei 12.015/2009).
",ESTUPRO DE VULNERÁVEL,CRIME CONTRA A LIBERDADE SEXUAL,"['ABORTO NO CASO DE GRAVIDEZ RESULTANTE DE ESTUPRO', 'ABUSO SEXUAL', 'ATENTADO VIOLENTO AO PUDOR', 'CASAMENTO DA VÍTIMA COM TERCEIRO', 'CONCURSO MATERIAL', 'CONJUNÇÃO CARNAL', 'CONSENTIMENTO EXPLÍCITO', 'CRIME CONTRA A DIGNIDADE SEXUAL', 'GRAVE AMEAÇA', 'MULHER', 'PRESUNÇÃO DE VIOLÊNCIA', 'VIOLÊNCIA REAL']",,,estupr
ESTUPRO DE VULNERÁVEL,['DPE DIREITO PENAL'],"

NOTA
""Art. 217-A. Ter conjunção carnal ou praticar outro ato libidinoso com menor de 14 (catorze) anos.
§ 1o Incorre na mesma pena quem pratica as ações descritas no caput com alguém que, por enfermidade ou deficiência mental, não tem o necessário discernimento para a prática do ato, ou que, por qualquer outra causa, não pode oferecer resistência. ((Decreto-lei 2.848 - Código Penal. Redação dada pela Lei 12.015/2009).
",,CRIME CONTRA A LIBERDADE SEXUAL,"['ABUSO SEXUAL', 'ATO LIBIDINOSO', 'CONJUNÇÃO CARNAL', 'CRIME CONTRA A DIGNIDADE SEXUAL', 'DOENÇA', 'GRAVE AMEAÇA', 'LESÃO CORPORAL DE NATUREZA GRAVE', 'MORTE', 'MORTE DA VÍTIMA', 'PESSOA COM DEFICIÊNCIA MENTAL', 'RESISTÊNCIA']",,,estupr de vulneravel
ESTUPRO QUALIFICADO,['DPE DIREITO PENAL'],,,ESTUPRO,"['AÇÃO PENAL PÚBLICA CONDICIONADA', 'LESÃO CORPORAL', 'MORTE']",,,estupr qualific
EVASÃO DE DIVISAS,"['DPE DIREITO PENAL', 'DTR DIREITO TRIBUTÁRIO']",,,,['CRIME DE SONEGAÇÃO FISCAL'],,,evas de divis
EXAME CRIMINOLÓGICO,['DPE DIREITO PENAL'],,LAUDO PSICOSSOCIAL,,"['BOM COMPORTAMENTO', 'GRAU DE PERICULOSIDADE', 'PROGRESSÃO DE REGIME PRISIONAL']",,,exam criminolog
EXAME DE SANIDADE MENTAL,"['DPC DIREITO PROCESSUAL CIVIL', 'DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,EXAME MÉDICO-LEGAL,"['ALIENAÇÃO MENTAL', 'DOENTE MENTAL', 'INSANIDADE MENTAL', 'PERSONALIDADE DO AGENTE', 'SANIDADE MENTAL', 'SEGURANÇA PROVISÓRIA']",EXAME PSIQUIÁTRICO,,exam de sanidad ment
EXAME PSICOLÓGICO,"['DIC DIREITO CIVIL', 'DPE DIREITO PENAL']",,,,"['SANIDADE MENTAL', 'SEGURANÇA PROVISÓRIA']",AVALIAÇÃO PSICOLÓGICA,,exam psicolog
EXAME TOXICOLÓGICO,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']","

NOTA
A rigor, EXAME TOXICOLÓGICO refere-se ao exame laboratorial sob a presença do princípio ativo ou metabólitos de drogas que verifica a presença de substância tóxica no organismo humano. EXAME DE DEPENDÊNCIA TOXICOLÓGICA refere-se ao exame psicológico e/ou psiquiátrico que tenta inferir a dependência química ou psicológica do examinado. Contudo, os acórdãos da base de pesquisa do STF mostram que ambos os exames são tratados da mesma forma, não havendo qualquer diferença entre eles, razão pela qual o TSTF não adotou a referida distinção, optando como descritor EXAME TOXICOLÓGICO, para caber em qualquer situação.
",,EXAME MÉDICO-LEGAL,"['DROGA', 'LAUDO TOXICOLÓGICO', 'PERÍCIA', 'SEGURANÇA PROVISÓRIA']",EXAME DE DEPENDÊNCIA TOXICOLÓGICA,,exam toxicolog
EXCEÇÃO DA VERDADE,['DPE DIREITO PENAL'],"

NOTA
Prerrogativa que dá a quem denuncia a prática de ato 
delituoso a oportunidade de provar sua delação, 
descaracterizando, se comprovada a verdade, o crime de 
calúnia. (GUIMARÃES, Deocleciano Torrieri. Dicionário 
Técnico Jurídico. 9 ed. São Paulo: Rideel, 2007. p. 308).
",,,"['CALÚNIA', 'DIFAMAÇÃO', 'FUNCIONÁRIO PÚBLICO', 'SERVIDOR PÚBLICO']",,,excec da verdad
EXCESSO DE PRAZO,['DPE DIREITO PENAL'],,,,,,,excess de praz
EXCESSO DE VELOCIDADE,['DPE DIREITO PENAL'],"

NOTA
Art. 311. Trafegar em velocidade incompatível com a segurança nas proximidades de escolas, hospitais, estações de embarque e desembarque de passageiros, logradouros estreitos, ou onde haja grande movimentação ou concentração de pessoas, gerando perigo de dano:
      Penas - detenção, de seis meses a um ano, ou multa (Código de Trânsito Nacional).
",,,"['CONDUTOR', 'LIMITE DE VELOCIDADE']",,,excess de veloc
EXCLUDENTE DE ILICITUDE,['DPE DIREITO PENAL'],,ESTADO DE NECESSIDADE,CAUSA EXCLUDENTE,"['ABSOLVIÇÃO SUMÁRIA', 'EXCLUDENTE DE CULPABILIDADE', 'EXCLUDENTE DE PUNIBILIDADE', 'ILICITUDE', 'VALOR ECONÔMICO']",EXCLUDENTE DE ANTIJURIDICIDADE,,exclud de ilicitud
EXCLUDENTE DE PUNIBILIDADE,['DPE DIREITO PENAL'],"

NOTA
Ver art. 107 do Código Penal.
",,CAUSA EXCLUDENTE,['EXCLUDENTE DE ILICITUDE'],,,exclud de punibil
EXERCÍCIO ARBITRÁRIO DAS PRÓPRIAS RAZÕES,['DPE DIREITO PENAL'],"

NOTA
Termo criado conforme disposto no Código Penal, Capítulo III (Dos crimes contra a Administração da Justiça), Título XI (Dos crimes contra a Administração Pública), verbis:

""Exercício arbitrário das próprias razões

        Art. 345 - Fazer justiça pelas próprias mãos, para satisfazer pretensão, embora legítima, salvo quando a lei o permite:
        Pena - detenção, de quinze dias a um mês, ou multa, além da pena correspondente à violência.
        Parágrafo único - Se não há emprego de violência, somente se procede mediante queixa.

        Art. 346 - Tirar, suprimir, destruir ou danificar coisa própria, que se acha em poder de terceiro por determinação judicial ou convenção:
        Pena - detenção, de seis meses a dois anos, e multa.""
",CRIME CONTRA A ADMINISTRAÇÃO DA JUSTIÇA,,['CRIME CONTRA A ADMINISTRAÇÃO PÚBLICA'],,,exercici arbitr da propr ra
EXERCÍCIO ILEGAL DA ATIVIDADE ECONÔMICA,['DPE DIREITO PENAL'],,,,['EXERCÍCIO ILEGAL DA PROFISSÃO'],,,exercici ileg da ativ econom
EXERCÍCIO ILEGAL DA PROFISSÃO,['DPE DIREITO PENAL'],,,,"['DIPLOMA FALSO', 'EXERCÍCIO ILEGAL DA ATIVIDADE ECONÔMICA']",,,exercici ileg da profiss
EXERCÍCIO REGULAR DE DIREITO,"['DIC DIREITO CIVIL', 'DPE DIREITO PENAL']",,,EXCLUDENTE DE ILICITUDE,,,,exercici regul de direit
EXPLORAÇÃO SEXUAL,"['DPE DIREITO PENAL', 'ECA ESTATUTO DA CRIANÇA E DO ADOLESCENTE']",,,,"['ABUSO SEXUAL', 'CRIME CONTRA A DIGNIDADE SEXUAL']",,,explor sex
EXPULSÃO DE ESTRANGEIRO,"['DIN DIREITO INTERNACIONAL', 'DPE DIREITO PENAL']",,,,"['DECRETO DE EXPULSÃO', 'DEPORTAÇÃO', 'EXPULSANDO', 'EXTRADIÇÃO', 'FATOR FAMILIAR', 'PERMANÊNCIA NO PAÍS', 'PRINCÍPIO DA NÃO DEVOLUÇÃO']",,,expuls de estrang
EXTINÇÃO DA PUNIBILIDADE,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,,"['ABOLITIO CRIMINIS', 'ANISTIA', 'CASAMENTO DA VÍTIMA COM O AGENTE', 'CASAMENTO DA VÍTIMA COM TERCEIRO', 'CAUSA DE EXTINÇÃO DA PUNIBILIDADE', 'DECADÊNCIA', 'DENÚNCIA', 'DENÚNCIA INEPTA', 'GRAÇA', 'INDULTO', 'INDULTO COLETIVO', 'JUÍZO DA EXECUÇÃO PENAL', 'MORTE DA VÍTIMA', 'MORTE DO AGENTE', 'PECULATO CULPOSO', 'PERDÃO', 'PERDÃO ACEITO', 'PERDÃO JUDICIAL', 'PEREMPÇÃO', 'PRESCRIÇÃO', 'PRESCRIÇÃO ANTECIPADA', 'PRESCRIÇÃO RETROATIVA', 'RENÚNCIA', 'RETRATAÇÃO', 'TRANCAMENTO DA AÇÃO PENAL', 'TRIBUTO']",EXTINÇÃO DE PUNIBILIDADE,,extinc da punibil
EXTORSÃO,['DPE DIREITO PENAL'],,,CRIME CONTRA O PATRIMÔNIO,"['EMPREGO DE ARMA', 'EXTORSÃO MEDIANTE SEQUESTRO', 'GRAVE AMEAÇA']",,,extors
EXTORSÃO MEDIANTE SEQUESTRO,['DPE DIREITO PENAL'],,,CRIME CONTRA O PATRIMÔNIO,"['CÁRCERE PRIVADO', 'CATIVEIRO', 'CRIME ANTECEDENTE', 'CRIME HEDIONDO', 'EXTORSÃO', 'SEQUESTRO']",,,extors medi sequestr
EXTRADITANDA,"['DCT DIREITO CONSTITUCIONAL', 'DIN DIREITO INTERNACIONAL', 'DPE DIREITO PENAL']","

NOTA
Aquela que sofre processo de extradição. (HOUAISS, Antônio. Dicionário Eletrônico Houaiss da Língua Portuguesa. 
Versão multiusuário 2009.3).
",,,['EXTRADITANDO'],,,extraditand
EXTRATERRITORIALIDADE,['DPE DIREITO PENAL'],,,,,,,extraterritorial
EXUMAÇÃO DE CADÁVER,['DPE DIREITO PENAL'],,,,"['AUTÓPSIA', 'LAUDO PERICIAL']",,,exum de cadav
FALSA IDENTIDADE,['DPE DIREITO PENAL'],"

NOTA
Atribuir-se ou atribuir a terceiro falsa identidade para obter vantagem, em proveito próprio ou alheio, ou para causar dano a outrem. (Artigo 307 do CP)
",,,"['CRIME CONTRA A ADMINISTRAÇÃO PÚBLICA', 'DOCUMENTO FALSO', 'ESTELIONATO', 'FALSIDADE DOCUMENTAL', 'FALSIDADE IDEOLÓGICA']",,,fals ident
FALSA PERÍCIA,['DPE DIREITO PENAL'],,,CRIME CONTRA A ADMINISTRAÇÃO DA JUSTIÇA,,,,fals peric
FALSIDADE DE TÍTULOS E OUTROS PAPÉIS PÚBLICOS,['DPE DIREITO PENAL'],,,CRIME CONTRA A FÉ PÚBLICA,,,,fals de titul e outr papel public
FALSIDADE DOCUMENTAL,['DPE DIREITO PENAL'],,,CRIME CONTRA A FÉ PÚBLICA,"['DOCUMENTO FALSO', 'ESTELIONATO', 'FALSA IDENTIDADE']",,,fals document
FALSIDADE IDEOLÓGICA,['DPE DIREITO PENAL'],,,,"['CAIXA DOIS', 'FALSA IDENTIDADE', 'FATO INVERÍDICO', 'VALOR']",,,fals ideolog
FALSIDADE MATERIAL,['DPE DIREITO PENAL'],,,,"['AÇÃO RESCISÓRIA', 'ATESTADO']",,,fals mater
FALSIFICAÇÃO,['DPE DIREITO PENAL'],,,,"['ESTELIONATO', 'EXAME GRAFOTÉCNICO', 'FORMAÇÃO DE QUADRILHA', 'INFORMAÇÃO FALSA']",,,falsific
FALSO TESTEMUNHO,"['DPC DIREITO PROCESSUAL CIVIL', 'DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,CRIME CONTRA A ADMINISTRAÇÃO DA JUSTIÇA,"['DEFESA', 'TESTEMUNHA']",DEPOIMENTO FALSO,,fals testemunh
ABONO-FAMÍLIA,['DTB DIREITO TRABALHISTA'],,,,['ABONO ESPECIAL'],,,abono-famil
ARRIMO DE FAMÍLIA,['DIC DIREITO CIVIL'],,,,['FAMÍLIA'],,,arr de famil
BEM DE FAMÍLIA,['DIC DIREITO CIVIL'],,,BEM,"['BEM IMPENHORÁVEL', 'BEM INALIENÁVEL', 'IMÓVEL DO CASAL']",,,bem de famil
DIREITO DE FAMÍLIA,['DIC DIREITO CIVIL'],,,,['FAMÍLIA'],,,direit de famil
ECONOMIA FAMILIAR,['DIC DIREITO CIVIL'],"

NOTA
O regime de economia familiar abrange os trabalhadores rurais, cuja 
atividade agrícola ou pastoril seja exercida pelos membros da família, 
com a absorção de toda a força de trabalho, e o resultado econômico 
seja indispensável à própria subsistência. 
(AJUFE, Revista da. Associação dos Juízes Federais do Brasil.
Ano 19. n. 65. p. 198).
",,ECONOMIA,"['ATIVIDADE RURAL', 'TRABALHADOR RURAL']",,,econom famili
EDUCAÇÃO FAMILIAR,['DCT DIREITO CONSTITUCIONAL'],,,,,,EDUCAÇÃO DOMICILIAR,educ famili
EDUCAÇÃO FAMILIAR DESESCOLARIZADA,['DCT DIREITO CONSTITUCIONAL'],,,,,,EDUCAÇÃO DOMICILIAR,educ famili desescolar
ENTIDADE FAMILIAR,['DIC DIREITO CIVIL'],,,,"['AFETO', 'FAMÍLIA', 'FAMÍLIA MONOPARENTAL', 'INVESTIGAÇÃO DE PATERNIDADE', 'UNIÃO ESTÁVEL', 'UNIÃO ESTÁVEL HOMOAFETIVA', 'UNIÃO HOMOAFETIVA']",,,entidad famili
FAMÍLIA,"['DCT DIREITO CONSTITUCIONAL', 'DIC DIREITO CIVIL', 'DPE DIREITO PENAL']",,FAMÍLIA MONOPARENTAL,,"['AFETO', 'ARRIMO DE FAMÍLIA', 'ASCENDENTE', 'AVÓ', 'AVÔ', 'BIGAMIA', 'CRIME CONTRA A FAMÍLIA', 'DESCENDENTE', 'DIREITO DE FAMÍLIA', 'ENTEADO', 'ENTIDADE FAMILIAR', 'FILHA', 'FILHO', 'INVESTIGAÇÃO DE PATERNIDADE', 'IRMÃ', 'IRMÃO', 'LAR', 'MADRASTA', 'MÃE', 'NETA', 'NETO', 'PADRASTO', 'PAI', 'PARENTE', 'PARENTESCO', 'PODER FAMILIAR', 'SOGRA', 'SOGRO', 'UNIÃO ESTÁVEL', 'UNIÃO ESTÁVEL HOMOAFETIVA', 'UNIÃO HOMOAFETIVA']",,,famil
FAMÍLIA MONOPARENTAL,['DIC DIREITO CIVIL'],"

NOTA
Comunidade formada por qualquer dos pais e seus descendentes. (Art. 226,§ 4º da Constituição Federal de 1988
",,FAMÍLIA,['ENTIDADE FAMILIAR'],,,famil monoparent
FATOR FAMILIAR,"['DIC DIREITO CIVIL', 'DIN DIREITO INTERNACIONAL']",,,,"['EXPULSÃO DE ESTRANGEIRO', 'FILHO BRASILEIRO']",,,fat famili
LICENÇA POR MOTIVO DE DOENÇA EM PESSOA DA FAMÍLIA,['DAD DIREITO ADMINISTRATIVO'],,,LICENÇA,,,,licenc por motiv de doenc em pesso da famil
PLANEJAMENTO FAMILIAR,['NOC NOMES COMUNS'],,,,['ESTERILIZAÇÃO CIRÚRGICA IRREGULAR'],,,planej famili
PODER FAMILIAR,"['DIC DIREITO CIVIL', 'ECA ESTATUTO DA CRIANÇA E DO ADOLESCENTE']","

NOTA
¿Antes denominado ¿PATRIO PODER¿, é uma soma de direitos e obrigações estabelecida para a proteção dos filhos menores. Compete em conjunto ao pai e à mãe, durante o casamento e a união estável. Quando há discordância, cabe recurso ao juiz. No impedimento ou na falta de um deles, o outro exercerá o PODER FAMILIAR com exclusividade (arts. 1.630 a 1.638 do C.C); o art. 1.689 do C.C. preconiza que o PODER FAMILIAR implica a administração e o usufruto dos bens dos filhos¿. (GUIMARÃES, Deocleciano Torrieri. Dicionário Técnico Jurídico. 9 ed. São Paulo: Rideel, 2007, pg. 4
",,,"['ADOÇÃO SIMPLES', 'CRIANÇA', 'CRIME CONTRA O PÁTRIO PODER, TUTELA E CURATELA', 'FAMÍLIA', 'GUARDA DE MENOR', 'MENOR', 'TUTELA DO MENOR']",PÁTRIO PODER,,pod famili
PROGRAMA BOLSA FAMÍLIA,['INS INSTITUIÇÕES'],"

NOTA
Programa do Governo Federal instituído pela Lei n.º 10.836/2004 e regulamentado pelo Decreto n.º 5.209/200
",,,['ASSISTÊNCIA SOCIAL'],,,program bols famil
PROGRAMA DE APOIO À PEQUENA PRODUÇÃO FAMILIAR RURAL ORGANIZADA,['INS INSTITUIÇÕES'],,,,,,PROGRAMA DE APOIO À PEQUENA PRODUÇÃO FAMILIAR RURAL ORGANIZADA (PRORURAL),program de apoi a pequen produc famili rural organiz
PROGRAMA DE APOIO À PEQUENA PRODUÇÃO FAMILIAR RURAL ORGANIZADA (PRORURAL),['INS INSTITUIÇÕES'],,,,,PROGRAMA DE APOIO À PEQUENA PRODUÇÃO FAMILIAR RURAL ORGANIZADA,,program de apoi a pequen produc famili rural organiz (prorural)
PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR,['INS INSTITUIÇÕES'],,,,,,PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR (PRONAF),program nacion de fortalec da agricult famili
PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR (PRONAF),['INS INSTITUIÇÕES'],,,,,PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR,,program nacion de fortalec da agricult famili (pronaf)
RENDA FAMILIAR,"['DIC DIREITO CIVIL', 'DTR DIREITO TRIBUTÁRIO']",,,RENDA,"['ABAIXO DO MÍNIMO LEGAL', 'IMPOSTO DE RENDA DE PESSOA FÍSICA (IRPF)', 'IMPOSTO DE RENDA (IR)']",,,rend famili
SALÁRIO-FAMÍLIA,"['DPR DIREITO PREVIDENCIÁRIO', 'DTB DIREITO TRABALHISTA']",,,DIREITO DO TRABALHADOR,"['BENEFÍCIO PREVIDENCIÁRIO', 'DEPENDENTE', 'FILHA', 'FILHO']",,,salario-famil
VARA DE FAMÍLIA,['DPC DIREITO PROCESSUAL CIVIL'],,,VARA,,,,var de famil
FATO ANTERIOR,['DPE DIREITO PENAL'],,,FATO,['FATO NOVO'],,,fat anteri
FATO ATÍPICO,['DPE DIREITO PENAL'],,,FATO,"['CRIME IMPOSSÍVEL', 'FATO TÍPICO', 'TRANCAMENTO DA AÇÃO PENAL', 'TRANCAMENTO DE INQUÉRITO POLICIAL']",,,fat atip
FATO COMPLEXO,['DPE DIREITO PENAL'],,,FATO,,,,fat complex
FATO CONCRETO,['DPE DIREITO PENAL'],,,,['PRISÃO PREVENTIVA'],,,fat concret
FATO CONSUMADO,['DPE DIREITO PENAL'],,,FATO,['TEORIA DO FATO CONSUMADO'],,,fat consum
TEORIA DO FATO CONSUMADO,['DPE DIREITO PENAL'],,,TEORIA,['FATO CONSUMADO'],,,teor do fat consum
FATO CRIMINOSO,['DPE DIREITO PENAL'],,,FATO,"['ATO CRIMINOSO', 'CIRCUNSTÂNCIA OBJETIVA', 'LIBELO']",FATO DELITUOSO,,fat crimin
FATO DIVERSO,['DPE DIREITO PENAL'],,,FATO,['DENÚNCIA'],,,fat divers
FATO IMPUTADO,['DPE DIREITO PENAL'],,,FATO,,,,fat imput
FATO INCONTROVERSO,"['DPC DIREITO PROCESSUAL CIVIL', 'DPE DIREITO PENAL']",,,FATO,"['DILAÇÃO PROBATÓRIA', 'ENQUADRAMENTO JURÍDICO', 'FATO NOTÓRIO']",,,fat incontrovers
FATO INVERÍDICO,"['DPC DIREITO PROCESSUAL CIVIL', 'DPE DIREITO PENAL']",,,FATO,['FALSIDADE IDEOLÓGICA'],,,fat inverid
FATO JURÍDICO,"['DPC DIREITO PROCESSUAL CIVIL', 'DPE DIREITO PENAL']","

NOTA
São os acontecimentos em virtude dos quais relações de direito nascem e se extinguem. (Savigny)
",,FATO,"['FATO DE TERCEIRO', 'NEGÓCIO JURÍDICO', 'RESERVA MENTAL']",,,fat jurid
FATO MOTIVADOR,"['DPC DIREITO PROCESSUAL CIVIL', 'DPE DIREITO PENAL']",,,FATO,"['DEFESA', 'DENÚNCIA']",,,fat motiv
FATO NÃO IMPUGNADO,"['DPC DIREITO PROCESSUAL CIVIL', 'DPE DIREITO PENAL']",,,FATO,,,,fat nao impugn
FATO NOVO,"['DPC DIREITO PROCESSUAL CIVIL', 'DPE DIREITO PENAL']",,,FATO,"['FATO ANTERIOR', 'FATO SUPERVENIENTE']",,,fat nov
FATO SUPERVENIENTE,"['DPC DIREITO PROCESSUAL CIVIL', 'DPE DIREITO PENAL']",,,FATO,"['AÇÃO DECLARATÓRIA INCIDENTAL', 'DIREITO SUPERVENIENTE', 'FATO IMPEDITIVO', 'FATO NOVO']",FATO POSTERIOR,,fat superveni
FATO TÍPICO,['DPE DIREITO PENAL'],,,FATO,"['DENÚNCIA', 'FATO ATÍPICO', 'NEXO DE CAUSALIDADE', 'TIPICIDADE MATERIAL']",,,fat tipic
FATOS CONEXOS,['DPE DIREITO PENAL'],,,,,,,fat conex
FAVORECIMENTO DA PROSTITUIÇÃO,['DPE DIREITO PENAL'],,,LENOCÍNIO,"['GRAVE AMEAÇA', 'RUFIANISMO']",,,favorec da prostitu
FAVORECIMENTO PESSOAL,['DPE DIREITO PENAL'],,,CRIME CONTRA A ADMINISTRAÇÃO DA JUSTIÇA,['VANTAGEM PESSOAL'],,,favorec pessoal
CARGO DE CONFIANÇA,['DAD DIREITO ADMINISTRATIVO'],,,,,,FUNÇÃO DE CONFIANÇA,carg de confianc
CARTA DE FIANÇA,['DEM DIREITO EMPRESARIAL'],,,,['CONTRATO DE FIANÇA'],,,cart de fianc
CONFIANÇA,['MOD MODIFICADORES'],,,,,,,confianc
CONTRATO DE FIANÇA,"['DEM DIREITO EMPRESARIAL', 'DIC DIREITO CIVIL']",,CONTRATO DE FIANÇA BANCÁRIA,CONTRATO,"['BENEFÍCIO DE ORDEM', 'CARTA DE FIANÇA', 'CONTRATO DE LOCAÇÃO', 'FIADOR']",,,contrat de fianc
CONTRATO DE FIANÇA BANCÁRIA,"['DIC DIREITO CIVIL', 'DTR DIREITO TRIBUTÁRIO']",,,CONTRATO DE FIANÇA,"['EXECUÇÃO FISCAL', 'PENHOR']",,,contrat de fianc bancar
CONTRATO DE FIANÇA MERCANTIL,"['DEM DIREITO EMPRESARIAL', 'DIC DIREITO CIVIL']",,,CONTRATO DE FIANÇA,,,,contrat de fianc mercantil
FIANÇA,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,,"['CRIME AFIANÇÁVEL', 'CRIME HEDIONDO', 'CRIME INAFIANÇÁVEL', 'DISTRITO DA CULPA', 'LIBERDADE', 'LIBERDADE PROVISÓRIA', 'RÉU POBRE', 'SELO PENITENCIÁRIO']",,,fianc
FUNÇÃO DE CONFIANÇA,['DAD DIREITO ADMINISTRATIVO'],"

NOTA
Art. 37. (...)
V - as funções de confiança, exercidas exclusivamente por servidores 
ocupantes de cargo efetivo, e os cargos em comissão, a serem 
preenchidos por servidores de carreira nos casos, condições e 
percentuais mínimos previstos em lei, destinam-se apenas às atribuições de 
direção, chefia e assessoramento.
(Constituição Federal de 1988. Redação dada pela Emc-19/1998).
",,FUNÇÃO,"['CARGO DE ASSESSORAMENTO', 'CARGO DE CHEFIA', 'CARGO EM COMISSÃO', 'COMPLEMENTO TEMPORÁRIO VARIÁVEL DE AJUSTE DE MERCADO (CTVA)', 'FUNÇÃO DE ASSESSORAMENTO SUPERIOR', 'FUNÇÃO DE CHEFIA', 'SERVIDOR PÚBLICO']",CARGO DE CONFIANÇA,,func de confianc
LIBERDADE PROVISÓRIA COM FIANÇA,['DPP DIREITO PROCESSUAL PENAL'],,,LIBERDADE PROVISÓRIA,,,,liberdad provisor com fianc
LIBERDADE PROVISÓRIA SEM FIANÇA,['DPP DIREITO PROCESSUAL PENAL'],,,LIBERDADE PROVISÓRIA,,,,liberdad provisor sem fianc
MOÇÃO DE DESCONFIANÇA,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
No sistema parlamentarista é a proposta de apoio ao gabinete, apresentada ao Parlamento, que foi rejeitada, provocando a sua queda ou demissão. A moção de revela que não mais existe o apoio da maioria parlamentar para que o Gabinete possa permanecer no governo. (DINIZ, Maria Helena. Dicionário Jurídico. 3 ed. rev. e atual. São Paulo: Saraiva, 2005.)
",,,['PARLAMENTARISMO'],MOÇÃO DE CENSURA,,moc de desconfianc
PRINCÍPIO DA CONFIANÇA,['DPE DIREITO PENAL'],"

NOTA
O princípio da confiança baseia-se na expectativa de que as outras pessoas ajam de um modo já esperado, ou seja, normal. Consiste, portanto, na realização da conduta de uma determinada forma na confiança de que o comportamento do outro agente se dará conforme o que acontece normalmente. (SALIN, Alexandre Aranalde. ""Teoria da norma penal"" - Porto Alegre : Verbo Jurídico, 2008).
",,,"['BOA-FÉ', 'VENIRE CONTRA FACTUM PROPRIUM']",,,principi da confianc
PRINCÍPIO DA PROTEÇÃO À CONFIANÇA,['DCT DIREITO CONSTITUCIONAL'],,,PRINCÍPIO CONSTITUCIONAL,,,,principi da protec a confianc
FISCAL DA LEI,"['DPC DIREITO PROCESSUAL CIVIL', 'DPE DIREITO PENAL']",,,,['MINISTÉRIO PÚBLICO'],CUSTOS LEGIS,,fiscal da lei
